번호,문서번호,사업구분,납품사업소,호기,분야,소분야,발행기관,제목,등록일,발행일,등록자,지적유형,검토기관,검토일,미흡_우수사항,관련근거,권고사항,대상품목,권고내용,공유분야(기계),공유분야(계전),공유분야(공통_기타),위배 내용
184,M0056-0014,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,밸브,검사업체,수압시험 중 누설 발생,2024-11-22,2024-11-22,sunae5272,QSDR,검사업체,2024-07-23,Valve 수압시험 진행 중 Valve Body 가공면에서 누설 발생함, Hydrostatic and Seat-leakage Test Procedure(A/E 승인 절차서) 2.0 판정기준 2.1 몸통 수압시험 합격 기준 시험원은 요구된 시간동안 시험압력을 유지시킨 상태에서 검사를 수행하여 Valve에 누설이 있거나 영구적인 변형이 있으면 불합격으로 판정한다.,보수용접절차에 따라 보수 후 재시험,밸브,기타,"펌프,밸브,배관,탱크,열교환기",,,A06
185,M0056-0016,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,밸브,검사업체,수압시험 중 누설 발생,2024-11-22,2024-11-22,jspark,QSDR,검사업체,2024-07-23,Valve 수압시험 진행 중 Valve Body 가공면에서 누설 발생함, Hydrostatic and Seat-leakage Test Procedure(A/E 승인 절차서) 2.0 판정기준 2.1 몸통 수압시험 합격 기준 시험원은 요구된 시간동안 시험압력을 유지시킨 상태에서 검사를 수행하여 Valve에 누설이 있거나 영구적인 변형이 있으면 불합격으로 판정한다.,보수용접절차에 따라 보수 후 재시험,밸브,기타,"펌프,밸브,배관,탱크,열교환기",,,A37
186,M0056-0018,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,밸브,검사업체,수압시험 중 누설 발생,2024-11-22,2024-11-22,sys230314,QSDR,검사업체,2024-07-23,Valve 수압시험 진행 중 Valve Body 가공면에서 누설 발생함, Hydrostatic and Seat-leakage Test Procedure(A/E 승인 절차서) 2.0 판정기준 2.1 몸통 수압시험 합격 기준 시험원은 요구된 시간동안 시험압력을 유지시킨 상태에서 검사를 수행하여 Valve에 누설이 있거나 영구적인 변형이 있으면 불합격으로 판정한다.,보수용접절차에 따라 보수 후 재시험,밸브,기타,"펌프,밸브,배관,탱크,열교환기",,,A08
187,M0056-0020,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,밸브,검사업체,수압시험 중 누설 발생,2024-11-22,2024-11-22,3zvalve1,QSDR,검사업체,2024-07-23,Valve 수압시험 진행 중 Valve Body 가공면에서 누설 발생함, Hydrostatic and Seat-leakage Test Procedure(A/E 승인 절차서) 2.0 판정기준 2.1 몸통 수압시험 합격 기준 시험원은 요구된 시간동안 시험압력을 유지시킨 상태에서 검사를 수행하여 Valve에 누설이 있거나 영구적인 변형이 있으면 불합격으로 판정한다.,보수용접절차에 따라 보수 후 재시험,밸브,기타,"펌프,밸브,배관,탱크,열교환기",,,A68
188,M0056-0023,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,밸브,검사업체,수압시험 중 누설 발생,2024-11-22,2024-11-22,swchoi,QSDR,검사업체,2024-07-23,Valve 수압시험 진행 중 Valve Body 가공면에서 누설 발생함, Hydrostatic and Seat-leakage Test Procedure(A/E 승인 절차서) 2.0 판정기준 2.1 몸통 수압시험 합격 기준 시험원은 요구된 시간동안 시험압력을 유지시킨 상태에서 검사를 수행하여 Valve에 누설이 있거나 영구적인 변형이 있으면 불합격으로 판정한다.,보수용접절차에 따라 보수 후 재시험,밸브,기타,"펌프,밸브,배관,탱크,열교환기",,,A39
189,M0056-0025,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,밸브,검사업체,수압시험 중 누설 발생,2024-11-22,2024-11-22,bhi7102m,QSDR,검사업체,2024-07-23,Valve 수압시험 진행 중 Valve Body 가공면에서 누설 발생함, Hydrostatic and Seat-leakage Test Procedure(A/E 승인 절차서) 2.0 판정기준 2.1 몸통 수압시험 합격 기준 시험원은 요구된 시간동안 시험압력을 유지시킨 상태에서 검사를 수행하여 Valve에 누설이 있거나 영구적인 변형이 있으면 불합격으로 판정한다.,보수용접절차에 따라 보수 후 재시험,밸브,기타,"펌프,밸브,배관,탱크,열교환기",,,A08
190,M0056-0028,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,밸브,검사업체,수압시험 중 누설 발생,2024-11-22,2024-11-22,parkjinhong,QSDR,검사업체,2024-07-23,Valve 수압시험 진행 중 Valve Body 가공면에서 누설 발생함, Hydrostatic and Seat-leakage Test Procedure(A/E 승인 절차서) 2.0 판정기준 2.1 몸통 수압시험 합격 기준 시험원은 요구된 시간동안 시험압력을 유지시킨 상태에서 검사를 수행하여 Valve에 누설이 있거나 영구적인 변형이 있으면 불합격으로 판정한다.,보수용접절차에 따라 보수 후 재시험,밸브,기타,"펌프,밸브,배관,탱크,열교환기",,,A03
191,M0056-0031,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,밸브,검사업체,수압시험 중 누설 발생,2024-11-22,2024-11-22,ktjsals1,QSDR,검사업체,2024-07-23,Valve 수압시험 진행 중 Valve Body 가공면에서 누설 발생함, Hydrostatic and Seat-leakage Test Procedure(A/E 승인 절차서) 2.0 판정기준 2.1 몸통 수압시험 합격 기준 시험원은 요구된 시간동안 시험압력을 유지시킨 상태에서 검사를 수행하여 Valve에 누설이 있거나 영구적인 변형이 있으면 불합격으로 판정한다.,보수용접절차에 따라 보수 후 재시험,밸브,기타,"펌프,밸브,배관,탱크,열교환기",,,A63
192,M0056-0033,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,밸브,검사업체,수압시험 중 누설 발생,2024-11-22,2024-11-22,jyshin0282,QSDR,검사업체,2024-07-23,Valve 수압시험 진행 중 Valve Body 가공면에서 누설 발생함, Hydrostatic and Seat-leakage Test Procedure(A/E 승인 절차서) 2.0 판정기준 2.1 몸통 수압시험 합격 기준 시험원은 요구된 시간동안 시험압력을 유지시킨 상태에서 검사를 수행하여 Valve에 누설이 있거나 영구적인 변형이 있으면 불합격으로 판정한다.,보수용접절차에 따라 보수 후 재시험,밸브,기타,"펌프,밸브,배관,탱크,열교환기",,,A67
193,C0020-0001,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,문서(WPS/PQR) 제출 및 승인 누락,2024-11-22,2024-11-22,bkocen34,NCR,검사업체,2024-07-23,"기술규격서에 따라 WPS&PQR 제출, 승인 후 용접을 수행하여야 하나 미제출, 미승인 상태에서 용접 수행함.", 기술규격서 4.06.D WELDING 1. Welding Work shall meet the requirements of KEPIC SWT structure weding code-sheet steel. 2. The Supplier shall provide Welding Procedure Speccification(WPS) and Procedure Qualification Records(PQR) prepared in Accordance with the applicable code.,용접절차서(WPS/PQR) 작성 후 A/E승인,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A35
194,C0020-0002,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,문서(WPS/PQR) 제출 및 승인 누락,2024-11-22,2024-11-22,sessamo,NCR,검사업체,2024-07-23,"기술규격서에 따라 WPS&PQR 제출, 승인 후 용접을 수행하여야 하나 미제출, 미승인 상태에서 용접 수행함.", 기술규격서 4.06.D WELDING 1. Welding Work shall meet the requirements of KEPIC SWT structure weding code-sheet steel. 2. The Supplier shall provide Welding Procedure Speccification(WPS) and Procedure Qualification Records(PQR) prepared in Accordance with the applicable code.,용접절차서(WPS/PQR) 작성 후 A/E승인,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A60
195,C0020-0004,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,문서(WPS/PQR) 제출 및 승인 누락,2024-11-22,2024-11-22,haji59k11,NCR,검사업체,2024-07-23,"기술규격서에 따라 WPS&PQR 제출, 승인 후 용접을 수행하여야 하나 미제출, 미승인 상태에서 용접 수행함.", 기술규격서 4.06.D WELDING 1. Welding Work shall meet the requirements of KEPIC SWT structure weding code-sheet steel. 2. The Supplier shall provide Welding Procedure Speccification(WPS) and Procedure Qualification Records(PQR) prepared in Accordance with the applicable code.,용접절차서(WPS/PQR) 작성 후 A/E승인,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A41
196,C0020-0006,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,문서(WPS/PQR) 제출 및 승인 누락,2024-11-22,2024-11-22,bandohoist1,NCR,검사업체,2024-07-23,"기술규격서에 따라 WPS&PQR 제출, 승인 후 용접을 수행하여야 하나 미제출, 미승인 상태에서 용접 수행함.", 기술규격서 4.06.D WELDING 1. Welding Work shall meet the requirements of KEPIC SWT structure weding code-sheet steel. 2. The Supplier shall provide Welding Procedure Speccification(WPS) and Procedure Qualification Records(PQR) prepared in Accordance with the applicable code.,용접절차서(WPS/PQR) 작성 후 A/E승인,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A57
197,C0020-0008,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,문서(WPS/PQR) 제출 및 승인 누락,2024-11-22,2024-11-22,honest0909,NCR,검사업체,2024-07-23,"기술규격서에 따라 WPS&PQR 제출, 승인 후 용접을 수행하여야 하나 미제출, 미승인 상태에서 용접 수행함.", 기술규격서 4.06.D WELDING 1. Welding Work shall meet the requirements of KEPIC SWT structure weding code-sheet steel. 2. The Supplier shall provide Welding Procedure Speccification(WPS) and Procedure Qualification Records(PQR) prepared in Accordance with the applicable code.,용접절차서(WPS/PQR) 작성 후 A/E승인,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A58
198,C0020-0010,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,문서(WPS/PQR) 제출 및 승인 누락,2024-11-22,2024-11-22,jingo7878,NCR,검사업체,2024-07-23,"기술규격서에 따라 WPS&PQR 제출, 승인 후 용접을 수행하여야 하나 미제출, 미승인 상태에서 용접 수행함.", 기술규격서 4.06.D WELDING 1. Welding Work shall meet the requirements of KEPIC SWT structure weding code-sheet steel. 2. The Supplier shall provide Welding Procedure Speccification(WPS) and Procedure Qualification Records(PQR) prepared in Accordance with the applicable code.,용접절차서(WPS/PQR) 작성 후 A/E승인,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A59
199,C0020-0012,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,문서(WPS/PQR) 제출 및 승인 누락,2024-11-22,2024-11-22,manilow72,NCR,검사업체,2024-07-23,"기술규격서에 따라 WPS&PQR 제출, 승인 후 용접을 수행하여야 하나 미제출, 미승인 상태에서 용접 수행함.", 기술규격서 4.06.D WELDING 1. Welding Work shall meet the requirements of KEPIC SWT structure weding code-sheet steel. 2. The Supplier shall provide Welding Procedure Speccification(WPS) and Procedure Qualification Records(PQR) prepared in Accordance with the applicable code.,용접절차서(WPS/PQR) 작성 후 A/E승인,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A06
200,C0020-0014,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,문서(WPS/PQR) 제출 및 승인 누락,2024-11-22,2024-11-22,bandohoist7,NCR,검사업체,2024-07-23,"기술규격서에 따라 WPS&PQR 제출, 승인 후 용접을 수행하여야 하나 미제출, 미승인 상태에서 용접 수행함.", 기술규격서 4.06.D WELDING 1. Welding Work shall meet the requirements of KEPIC SWT structure weding code-sheet steel. 2. The Supplier shall provide Welding Procedure Speccification(WPS) and Procedure Qualification Records(PQR) prepared in Accordance with the applicable code.,용접절차서(WPS/PQR) 작성 후 A/E승인,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A65
201,C0020-0016,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,문서(WPS/PQR) 제출 및 승인 누락,2024-11-22,2024-11-22,banabayo,NCR,검사업체,2024-07-23,"기술규격서에 따라 WPS&PQR 제출, 승인 후 용접을 수행하여야 하나 미제출, 미승인 상태에서 용접 수행함.", 기술규격서 4.06.D WELDING 1. Welding Work shall meet the requirements of KEPIC SWT structure weding code-sheet steel. 2. The Supplier shall provide Welding Procedure Speccification(WPS) and Procedure Qualification Records(PQR) prepared in Accordance with the applicable code.,용접절차서(WPS/PQR) 작성 후 A/E승인,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,C07
202,C0020-0018,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,문서(WPS/PQR) 제출 및 승인 누락,2024-11-22,2024-11-22,seaheng1,NCR,검사업체,2024-07-23,"기술규격서에 따라 WPS&PQR 제출, 승인 후 용접을 수행하여야 하나 미제출, 미승인 상태에서 용접 수행함.", 기술규격서 4.06.D WELDING 1. Welding Work shall meet the requirements of KEPIC SWT structure weding code-sheet steel. 2. The Supplier shall provide Welding Procedure Speccification(WPS) and Procedure Qualification Records(PQR) prepared in Accordance with the applicable code.,용접절차서(WPS/PQR) 작성 후 A/E승인,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A52
203,C0020-0020,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,문서(WPS/PQR) 제출 및 승인 누락,2024-11-22,2024-11-22,gsfire119,NCR,검사업체,2024-07-23,"기술규격서에 따라 WPS&PQR 제출, 승인 후 용접을 수행하여야 하나 미제출, 미승인 상태에서 용접 수행함.", 기술규격서 4.06.D WELDING 1. Welding Work shall meet the requirements of KEPIC SWT structure weding code-sheet steel. 2. The Supplier shall provide Welding Procedure Speccification(WPS) and Procedure Qualification Records(PQR) prepared in Accordance with the applicable code.,용접절차서(WPS/PQR) 작성 후 A/E승인,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A09
204,C0020-0022,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,문서(WPS/PQR) 제출 및 승인 누락,2024-11-22,2024-11-22,jiggydogg,NCR,검사업체,2024-07-23,"기술규격서에 따라 WPS&PQR 제출, 승인 후 용접을 수행하여야 하나 미제출, 미승인 상태에서 용접 수행함.", 기술규격서 4.06.D WELDING 1. Welding Work shall meet the requirements of KEPIC SWT structure weding code-sheet steel. 2. The Supplier shall provide Welding Procedure Speccification(WPS) and Procedure Qualification Records(PQR) prepared in Accordance with the applicable code.,용접절차서(WPS/PQR) 작성 후 A/E승인,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A09
205,C0020-0024,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,문서(WPS/PQR) 제출 및 승인 누락,2024-11-22,2024-11-22,duaghdrl,NCR,검사업체,2024-07-23,"기술규격서에 따라 WPS&PQR 제출, 승인 후 용접을 수행하여야 하나 미제출, 미승인 상태에서 용접 수행함.", 기술규격서 4.06.D WELDING 1. Welding Work shall meet the requirements of KEPIC SWT structure weding code-sheet steel. 2. The Supplier shall provide Welding Procedure Speccification(WPS) and Procedure Qualification Records(PQR) prepared in Accordance with the applicable code.,용접절차서(WPS/PQR) 작성 후 A/E승인,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A48
206,C0020-0027,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,문서(WPS/PQR) 제출 및 승인 누락,2024-11-22,2024-11-22,cwhydro1,NCR,검사업체,2024-07-23,"기술규격서에 따라 WPS&PQR 제출, 승인 후 용접을 수행하여야 하나 미제출, 미승인 상태에서 용접 수행함.", 기술규격서 4.06.D WELDING 1. Welding Work shall meet the requirements of KEPIC SWT structure weding code-sheet steel. 2. The Supplier shall provide Welding Procedure Speccification(WPS) and Procedure Qualification Records(PQR) prepared in Accordance with the applicable code.,용접절차서(WPS/PQR) 작성 후 A/E승인,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A32
207,C0020-0029,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,문서(WPS/PQR) 제출 및 승인 누락,2024-11-22,2024-11-22,TSURUMI77,NCR,검사업체,2024-07-23,"기술규격서에 따라 WPS&PQR 제출, 승인 후 용접을 수행하여야 하나 미제출, 미승인 상태에서 용접 수행함.", 기술규격서 4.06.D WELDING 1. Welding Work shall meet the requirements of KEPIC SWT structure weding code-sheet steel. 2. The Supplier shall provide Welding Procedure Speccification(WPS) and Procedure Qualification Records(PQR) prepared in Accordance with the applicable code.,용접절차서(WPS/PQR) 작성 후 A/E승인,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A47
208,C0020-0031,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,문서(WPS/PQR) 제출 및 승인 누락,2024-11-22,2024-11-22,buradu,NCR,검사업체,2024-07-23,"기술규격서에 따라 WPS&PQR 제출, 승인 후 용접을 수행하여야 하나 미제출, 미승인 상태에서 용접 수행함.", 기술규격서 4.06.D WELDING 1. Welding Work shall meet the requirements of KEPIC SWT structure weding code-sheet steel. 2. The Supplier shall provide Welding Procedure Speccification(WPS) and Procedure Qualification Records(PQR) prepared in Accordance with the applicable code.,용접절차서(WPS/PQR) 작성 후 A/E승인,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,C06
209,C0020-0034,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,문서(WPS/PQR) 제출 및 승인 누락,2024-11-22,2024-11-22,shimjc98,NCR,검사업체,2024-07-23,"기술규격서에 따라 WPS&PQR 제출, 승인 후 용접을 수행하여야 하나 미제출, 미승인 상태에서 용접 수행함.", 기술규격서 4.06.D WELDING 1. Welding Work shall meet the requirements of KEPIC SWT structure weding code-sheet steel. 2. The Supplier shall provide Welding Procedure Speccification(WPS) and Procedure Qualification Records(PQR) prepared in Accordance with the applicable code.,용접절차서(WPS/PQR) 작성 후 A/E승인,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A40
210,C0020-0036,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,문서(WPS/PQR) 제출 및 승인 누락,2024-11-22,2024-11-22,kimjy0821,NCR,검사업체,2024-07-23,"기술규격서에 따라 WPS&PQR 제출, 승인 후 용접을 수행하여야 하나 미제출, 미승인 상태에서 용접 수행함.", 기술규격서 4.06.D WELDING 1. Welding Work shall meet the requirements of KEPIC SWT structure weding code-sheet steel. 2. The Supplier shall provide Welding Procedure Speccification(WPS) and Procedure Qualification Records(PQR) prepared in Accordance with the applicable code.,용접절차서(WPS/PQR) 작성 후 A/E승인,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A70
211,C0020-0038,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,문서(WPS/PQR) 제출 및 승인 누락,2024-11-22,2024-11-22,sunae5272,NCR,검사업체,2024-07-23,"기술규격서에 따라 WPS&PQR 제출, 승인 후 용접을 수행하여야 하나 미제출, 미승인 상태에서 용접 수행함.", 기술규격서 4.06.D WELDING 1. Welding Work shall meet the requirements of KEPIC SWT structure weding code-sheet steel. 2. The Supplier shall provide Welding Procedure Speccification(WPS) and Procedure Qualification Records(PQR) prepared in Accordance with the applicable code.,용접절차서(WPS/PQR) 작성 후 A/E승인,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,C02
212,C0020-0040,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,문서(WPS/PQR) 제출 및 승인 누락,2024-11-22,2024-11-22,jspark,NCR,검사업체,2024-07-23,"기술규격서에 따라 WPS&PQR 제출, 승인 후 용접을 수행하여야 하나 미제출, 미승인 상태에서 용접 수행함.", 기술규격서 4.06.D WELDING 1. Welding Work shall meet the requirements of KEPIC SWT structure weding code-sheet steel. 2. The Supplier shall provide Welding Procedure Speccification(WPS) and Procedure Qualification Records(PQR) prepared in Accordance with the applicable code.,용접절차서(WPS/PQR) 작성 후 A/E승인,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A06
213,C0020-0003,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,문서(WPS/PQR) 제출 및 승인 누락,2024-11-22,2024-11-22,nkfire15,NCR,검사업체,2024-07-23,"기술규격서에 따라 WPS&PQR 제출, 승인 후 용접을 수행하여야 하나 미제출, 미승인 상태에서 용접 수행함.", 기술규격서 4.06.D WELDING 1. Welding Work shall meet the requirements of KEPIC SWT structure weding code-sheet steel. 2. The Supplier shall provide Welding Procedure Speccification(WPS) and Procedure Qualification Records(PQR) prepared in Accordance with the applicable code.,용접절차서(WPS/PQR) 작성 후 A/E승인,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A55
214,C0020-0005,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,문서(WPS/PQR) 제출 및 승인 누락,2024-11-22,2024-11-22,kntsklim8711,NCR,검사업체,2024-07-23,"기술규격서에 따라 WPS&PQR 제출, 승인 후 용접을 수행하여야 하나 미제출, 미승인 상태에서 용접 수행함.", 기술규격서 4.06.D WELDING 1. Welding Work shall meet the requirements of KEPIC SWT structure weding code-sheet steel. 2. The Supplier shall provide Welding Procedure Speccification(WPS) and Procedure Qualification Records(PQR) prepared in Accordance with the applicable code.,용접절차서(WPS/PQR) 작성 후 A/E승인,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,C08
215,C0020-0007,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,문서(WPS/PQR) 제출 및 승인 누락,2024-11-22,2024-11-22,ycyeon0806,NCR,검사업체,2024-07-23,"기술규격서에 따라 WPS&PQR 제출, 승인 후 용접을 수행하여야 하나 미제출, 미승인 상태에서 용접 수행함.", 기술규격서 4.06.D WELDING 1. Welding Work shall meet the requirements of KEPIC SWT structure weding code-sheet steel. 2. The Supplier shall provide Welding Procedure Speccification(WPS) and Procedure Qualification Records(PQR) prepared in Accordance with the applicable code.,용접절차서(WPS/PQR) 작성 후 A/E승인,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A62
216,C0020-0009,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,문서(WPS/PQR) 제출 및 승인 누락,2024-11-22,2024-11-22,krse7026,NCR,검사업체,2024-07-23,"기술규격서에 따라 WPS&PQR 제출, 승인 후 용접을 수행하여야 하나 미제출, 미승인 상태에서 용접 수행함.", 기술규격서 4.06.D WELDING 1. Welding Work shall meet the requirements of KEPIC SWT structure weding code-sheet steel. 2. The Supplier shall provide Welding Procedure Speccification(WPS) and Procedure Qualification Records(PQR) prepared in Accordance with the applicable code.,용접절차서(WPS/PQR) 작성 후 A/E승인,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,C08
217,C0020-0011,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,문서(WPS/PQR) 제출 및 승인 누락,2024-11-22,2024-11-22,mgj1026,NCR,검사업체,2024-07-23,"기술규격서에 따라 WPS&PQR 제출, 승인 후 용접을 수행하여야 하나 미제출, 미승인 상태에서 용접 수행함.", 기술규격서 4.06.D WELDING 1. Welding Work shall meet the requirements of KEPIC SWT structure weding code-sheet steel. 2. The Supplier shall provide Welding Procedure Speccification(WPS) and Procedure Qualification Records(PQR) prepared in Accordance with the applicable code.,용접절차서(WPS/PQR) 작성 후 A/E승인,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A10
218,C0020-0013,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,문서(WPS/PQR) 제출 및 승인 누락,2024-11-22,2024-11-22,kntqa702,NCR,검사업체,2024-07-23,"기술규격서에 따라 WPS&PQR 제출, 승인 후 용접을 수행하여야 하나 미제출, 미승인 상태에서 용접 수행함.", 기술규격서 4.06.D WELDING 1. Welding Work shall meet the requirements of KEPIC SWT structure weding code-sheet steel. 2. The Supplier shall provide Welding Procedure Speccification(WPS) and Procedure Qualification Records(PQR) prepared in Accordance with the applicable code.,용접절차서(WPS/PQR) 작성 후 A/E승인,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A56
219,C0020-0015,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,문서(WPS/PQR) 제출 및 승인 누락,2024-11-22,2024-11-22,mbt5738542,NCR,검사업체,2024-07-23,"기술규격서에 따라 WPS&PQR 제출, 승인 후 용접을 수행하여야 하나 미제출, 미승인 상태에서 용접 수행함.", 기술규격서 4.06.D WELDING 1. Welding Work shall meet the requirements of KEPIC SWT structure weding code-sheet steel. 2. The Supplier shall provide Welding Procedure Speccification(WPS) and Procedure Qualification Records(PQR) prepared in Accordance with the applicable code.,용접절차서(WPS/PQR) 작성 후 A/E승인,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,C02
220,C0020-0017,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,문서(WPS/PQR) 제출 및 승인 누락,2024-11-22,2024-11-22,kimds5565,NCR,검사업체,2024-07-23,"기술규격서에 따라 WPS&PQR 제출, 승인 후 용접을 수행하여야 하나 미제출, 미승인 상태에서 용접 수행함.", 기술규격서 4.06.D WELDING 1. Welding Work shall meet the requirements of KEPIC SWT structure weding code-sheet steel. 2. The Supplier shall provide Welding Procedure Speccification(WPS) and Procedure Qualification Records(PQR) prepared in Accordance with the applicable code.,용접절차서(WPS/PQR) 작성 후 A/E승인,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A66
221,C0020-0019,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,문서(WPS/PQR) 제출 및 승인 누락,2024-11-22,2024-11-22,bhibw1751,NCR,검사업체,2024-07-23,"기술규격서에 따라 WPS&PQR 제출, 승인 후 용접을 수행하여야 하나 미제출, 미승인 상태에서 용접 수행함.", 기술규격서 4.06.D WELDING 1. Welding Work shall meet the requirements of KEPIC SWT structure weding code-sheet steel. 2. The Supplier shall provide Welding Procedure Speccification(WPS) and Procedure Qualification Records(PQR) prepared in Accordance with the applicable code.,용접절차서(WPS/PQR) 작성 후 A/E승인,전 품목 해당,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A31
