관리번호,문서번호,사업구분,납품사업소,호기,분야,소분야,발행기관,제목,등록일,발행일,등록자ID,지적유형,검토기관,검토일,미흡/우수사항,관련근거,권고사항,대상품목,권고내용,공유분야(기계),공유분야(계전),공유분야(공통/기타),위배 내용
2482,C0013-0096,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 요건 승인도면에 미반영,2020-09-11 14:04,2020-09-11 14:04,voda7231,감사/검사,검사업체,2020-08-18,스트레이너 육안 및 치수검사 중 다음과 같은 불일치사항이 발견 됨. 대상 품목 : #5 30“ T-Type Strainer (3 sets) 불일치 사항 : T-Type Strainer Cover 에 유지보수용 Removal Device (Davit)가 부착되어야 하나 미 부착 됨. (승인도면에도 미반영 됨),기술규격서 Attachment 4-3 Strainer Data Sheet - REMARKS: * Vendor to complete this data sheet and return to A/E with strainer assembly drawing. 1) Cover Removal Device(Davit) shall be provided for maintenance or removal of collected materials on the screen.,유관 부서에서 관련 요건 일치 여부 확인 관련담당자 재발방지 교육,"펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A55
2483,C0013-0097,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 요건 승인도면에 미반영,2020-09-11 14:04,2020-09-11 14:04,sinawesea,감사/검사,검사업체,2020-08-18,스트레이너 육안 및 치수검사 중 다음과 같은 불일치사항이 발견 됨. 대상 품목 : #5 30“ T-Type Strainer (3 sets) 불일치 사항 : T-Type Strainer Cover 에 유지보수용 Removal Device (Davit)가 부착되어야 하나 미 부착 됨. (승인도면에도 미반영 됨),기술규격서 Attachment 4-3 Strainer Data Sheet - REMARKS: * Vendor to complete this data sheet and return to A/E with strainer assembly drawing. 1) Cover Removal Device(Davit) shall be provided for maintenance or removal of collected materials on the screen.,유관 부서에서 관련 요건 일치 여부 확인 관련담당자 재발방지 교육,"펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A10
2484,C0013-0098,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 요건 승인도면에 미반영,2020-09-11 14:04,2020-09-11 14:04,jpcha0526,감사/검사,검사업체,2020-08-18,스트레이너 육안 및 치수검사 중 다음과 같은 불일치사항이 발견 됨. 대상 품목 : #5 30“ T-Type Strainer (3 sets) 불일치 사항 : T-Type Strainer Cover 에 유지보수용 Removal Device (Davit)가 부착되어야 하나 미 부착 됨. (승인도면에도 미반영 됨),기술규격서 Attachment 4-3 Strainer Data Sheet - REMARKS: * Vendor to complete this data sheet and return to A/E with strainer assembly drawing. 1) Cover Removal Device(Davit) shall be provided for maintenance or removal of collected materials on the screen.,유관 부서에서 관련 요건 일치 여부 확인 관련담당자 재발방지 교육,"펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A55
2485,C0013-0099,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 요건 승인도면에 미반영,2020-09-11 14:04,2020-09-11 14:04,iljin3523,감사/검사,검사업체,2020-08-18,스트레이너 육안 및 치수검사 중 다음과 같은 불일치사항이 발견 됨. 대상 품목 : #5 30“ T-Type Strainer (3 sets) 불일치 사항 : T-Type Strainer Cover 에 유지보수용 Removal Device (Davit)가 부착되어야 하나 미 부착 됨. (승인도면에도 미반영 됨),기술규격서 Attachment 4-3 Strainer Data Sheet - REMARKS: * Vendor to complete this data sheet and return to A/E with strainer assembly drawing. 1) Cover Removal Device(Davit) shall be provided for maintenance or removal of collected materials on the screen.,유관 부서에서 관련 요건 일치 여부 확인 관련담당자 재발방지 교육,"펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A59
2486,C0013-0100,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 요건 승인도면에 미반영,2020-09-11 14:04,2020-09-11 14:04,tmc46688,감사/검사,검사업체,2020-08-18,스트레이너 육안 및 치수검사 중 다음과 같은 불일치사항이 발견 됨. 대상 품목 : #5 30“ T-Type Strainer (3 sets) 불일치 사항 : T-Type Strainer Cover 에 유지보수용 Removal Device (Davit)가 부착되어야 하나 미 부착 됨. (승인도면에도 미반영 됨),기술규격서 Attachment 4-3 Strainer Data Sheet - REMARKS: * Vendor to complete this data sheet and return to A/E with strainer assembly drawing. 1) Cover Removal Device(Davit) shall be provided for maintenance or removal of collected materials on the screen.,유관 부서에서 관련 요건 일치 여부 확인 관련담당자 재발방지 교육,"펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A41
2487,C0013-0101,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 요건 승인도면에 미반영,2020-09-11 14:04,2020-09-11 14:04,permedia3,감사/검사,검사업체,2020-08-18,스트레이너 육안 및 치수검사 중 다음과 같은 불일치사항이 발견 됨. 대상 품목 : #5 30“ T-Type Strainer (3 sets) 불일치 사항 : T-Type Strainer Cover 에 유지보수용 Removal Device (Davit)가 부착되어야 하나 미 부착 됨. (승인도면에도 미반영 됨),기술규격서 Attachment 4-3 Strainer Data Sheet - REMARKS: * Vendor to complete this data sheet and return to A/E with strainer assembly drawing. 1) Cover Removal Device(Davit) shall be provided for maintenance or removal of collected materials on the screen.,유관 부서에서 관련 요건 일치 여부 확인 관련담당자 재발방지 교육,"펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A02
2488,C0013-0102,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 요건 승인도면에 미반영,2020-09-11 14:04,2020-09-11 14:04,juni2684,감사/검사,검사업체,2020-08-18,스트레이너 육안 및 치수검사 중 다음과 같은 불일치사항이 발견 됨. 대상 품목 : #5 30“ T-Type Strainer (3 sets) 불일치 사항 : T-Type Strainer Cover 에 유지보수용 Removal Device (Davit)가 부착되어야 하나 미 부착 됨. (승인도면에도 미반영 됨),기술규격서 Attachment 4-3 Strainer Data Sheet - REMARKS: * Vendor to complete this data sheet and return to A/E with strainer assembly drawing. 1) Cover Removal Device(Davit) shall be provided for maintenance or removal of collected materials on the screen.,유관 부서에서 관련 요건 일치 여부 확인 관련담당자 재발방지 교육,"펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A03
2489,C0013-0103,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 요건 승인도면에 미반영,2020-09-11 14:04,2020-09-11 14:04,hajj3388,감사/검사,검사업체,2020-08-18,스트레이너 육안 및 치수검사 중 다음과 같은 불일치사항이 발견 됨. 대상 품목 : #5 30“ T-Type Strainer (3 sets) 불일치 사항 : T-Type Strainer Cover 에 유지보수용 Removal Device (Davit)가 부착되어야 하나 미 부착 됨. (승인도면에도 미반영 됨),기술규격서 Attachment 4-3 Strainer Data Sheet - REMARKS: * Vendor to complete this data sheet and return to A/E with strainer assembly drawing. 1) Cover Removal Device(Davit) shall be provided for maintenance or removal of collected materials on the screen.,유관 부서에서 관련 요건 일치 여부 확인 관련담당자 재발방지 교육,"펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A09
2490,C0013-0104,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 요건 승인도면에 미반영,2020-09-11 14:04,2020-09-11 14:04,duonsystem,감사/검사,검사업체,2020-08-18,스트레이너 육안 및 치수검사 중 다음과 같은 불일치사항이 발견 됨. 대상 품목 : #5 30“ T-Type Strainer (3 sets) 불일치 사항 : T-Type Strainer Cover 에 유지보수용 Removal Device (Davit)가 부착되어야 하나 미 부착 됨. (승인도면에도 미반영 됨),기술규격서 Attachment 4-3 Strainer Data Sheet - REMARKS: * Vendor to complete this data sheet and return to A/E with strainer assembly drawing. 1) Cover Removal Device(Davit) shall be provided for maintenance or removal of collected materials on the screen.,유관 부서에서 관련 요건 일치 여부 확인 관련담당자 재발방지 교육,"펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A64
2491,C0013-0105,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 요건 승인도면에 미반영,2020-09-11 14:04,2020-09-11 14:04,sstechmy,감사/검사,검사업체,2020-08-18,스트레이너 육안 및 치수검사 중 다음과 같은 불일치사항이 발견 됨. 대상 품목 : #5 30“ T-Type Strainer (3 sets) 불일치 사항 : T-Type Strainer Cover 에 유지보수용 Removal Device (Davit)가 부착되어야 하나 미 부착 됨. (승인도면에도 미반영 됨),기술규격서 Attachment 4-3 Strainer Data Sheet - REMARKS: * Vendor to complete this data sheet and return to A/E with strainer assembly drawing. 1) Cover Removal Device(Davit) shall be provided for maintenance or removal of collected materials on the screen.,유관 부서에서 관련 요건 일치 여부 확인 관련담당자 재발방지 교육,"펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A42
2492,C0013-0106,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 요건 승인도면에 미반영,2020-09-11 14:04,2020-09-11 14:04,NAMDOENG,감사/검사,검사업체,2020-08-18,스트레이너 육안 및 치수검사 중 다음과 같은 불일치사항이 발견 됨. 대상 품목 : #5 30“ T-Type Strainer (3 sets) 불일치 사항 : T-Type Strainer Cover 에 유지보수용 Removal Device (Davit)가 부착되어야 하나 미 부착 됨. (승인도면에도 미반영 됨),기술규격서 Attachment 4-3 Strainer Data Sheet - REMARKS: * Vendor to complete this data sheet and return to A/E with strainer assembly drawing. 1) Cover Removal Device(Davit) shall be provided for maintenance or removal of collected materials on the screen.,유관 부서에서 관련 요건 일치 여부 확인 관련담당자 재발방지 교육,"펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A71
2493,C0013-0107,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 요건 승인도면에 미반영,2020-09-11 14:04,2020-09-11 14:04,sooheonkim,감사/검사,검사업체,2020-08-18,스트레이너 육안 및 치수검사 중 다음과 같은 불일치사항이 발견 됨. 대상 품목 : #5 30“ T-Type Strainer (3 sets) 불일치 사항 : T-Type Strainer Cover 에 유지보수용 Removal Device (Davit)가 부착되어야 하나 미 부착 됨. (승인도면에도 미반영 됨),기술규격서 Attachment 4-3 Strainer Data Sheet - REMARKS: * Vendor to complete this data sheet and return to A/E with strainer assembly drawing. 1) Cover Removal Device(Davit) shall be provided for maintenance or removal of collected materials on the screen.,유관 부서에서 관련 요건 일치 여부 확인 관련담당자 재발방지 교육,"펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A01
2494,C0013-0108,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 요건 승인도면에 미반영,2020-09-11 14:04,2020-09-11 14:04,nhkim227,감사/검사,검사업체,2020-08-18,스트레이너 육안 및 치수검사 중 다음과 같은 불일치사항이 발견 됨. 대상 품목 : #5 30“ T-Type Strainer (3 sets) 불일치 사항 : T-Type Strainer Cover 에 유지보수용 Removal Device (Davit)가 부착되어야 하나 미 부착 됨. (승인도면에도 미반영 됨),기술규격서 Attachment 4-3 Strainer Data Sheet - REMARKS: * Vendor to complete this data sheet and return to A/E with strainer assembly drawing. 1) Cover Removal Device(Davit) shall be provided for maintenance or removal of collected materials on the screen.,유관 부서에서 관련 요건 일치 여부 확인 관련담당자 재발방지 교육,"펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A40
2495,C0013-0109,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 요건 승인도면에 미반영,2020-09-11 14:04,2020-09-11 14:04,wisecontrol,감사/검사,검사업체,2020-08-18,스트레이너 육안 및 치수검사 중 다음과 같은 불일치사항이 발견 됨. 대상 품목 : #5 30“ T-Type Strainer (3 sets) 불일치 사항 : T-Type Strainer Cover 에 유지보수용 Removal Device (Davit)가 부착되어야 하나 미 부착 됨. (승인도면에도 미반영 됨),기술규격서 Attachment 4-3 Strainer Data Sheet - REMARKS: * Vendor to complete this data sheet and return to A/E with strainer assembly drawing. 1) Cover Removal Device(Davit) shall be provided for maintenance or removal of collected materials on the screen.,유관 부서에서 관련 요건 일치 여부 확인 관련담당자 재발방지 교육,"펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A47
2496,C0013-0110,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 요건 승인도면에 미반영,2020-09-11 14:04,2020-09-11 14:04,kti507349,감사/검사,검사업체,2020-08-18,스트레이너 육안 및 치수검사 중 다음과 같은 불일치사항이 발견 됨. 대상 품목 : #5 30“ T-Type Strainer (3 sets) 불일치 사항 : T-Type Strainer Cover 에 유지보수용 Removal Device (Davit)가 부착되어야 하나 미 부착 됨. (승인도면에도 미반영 됨),기술규격서 Attachment 4-3 Strainer Data Sheet - REMARKS: * Vendor to complete this data sheet and return to A/E with strainer assembly drawing. 1) Cover Removal Device(Davit) shall be provided for maintenance or removal of collected materials on the screen.,유관 부서에서 관련 요건 일치 여부 확인 관련담당자 재발방지 교육,"펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A05
2497,C0013-0111,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 요건 승인도면에 미반영,2020-09-11 14:04,2020-09-11 14:04,hfg130524,감사/검사,검사업체,2020-08-18,스트레이너 육안 및 치수검사 중 다음과 같은 불일치사항이 발견 됨. 대상 품목 : #5 30“ T-Type Strainer (3 sets) 불일치 사항 : T-Type Strainer Cover 에 유지보수용 Removal Device (Davit)가 부착되어야 하나 미 부착 됨. (승인도면에도 미반영 됨),기술규격서 Attachment 4-3 Strainer Data Sheet - REMARKS: * Vendor to complete this data sheet and return to A/E with strainer assembly drawing. 1) Cover Removal Device(Davit) shall be provided for maintenance or removal of collected materials on the screen.,유관 부서에서 관련 요건 일치 여부 확인 관련담당자 재발방지 교육,"펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A09
2498,C0013-0112,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 요건 승인도면에 미반영,2020-09-11 14:04,2020-09-11 14:04,anha1515,감사/검사,검사업체,2020-08-18,스트레이너 육안 및 치수검사 중 다음과 같은 불일치사항이 발견 됨. 대상 품목 : #5 30“ T-Type Strainer (3 sets) 불일치 사항 : T-Type Strainer Cover 에 유지보수용 Removal Device (Davit)가 부착되어야 하나 미 부착 됨. (승인도면에도 미반영 됨),기술규격서 Attachment 4-3 Strainer Data Sheet - REMARKS: * Vendor to complete this data sheet and return to A/E with strainer assembly drawing. 1) Cover Removal Device(Davit) shall be provided for maintenance or removal of collected materials on the screen.,유관 부서에서 관련 요건 일치 여부 확인 관련담당자 재발방지 교육,"펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A02
2499,C0013-0113,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 요건 승인도면에 미반영,2020-09-11 14:04,2020-09-11 14:04,hyst2500,감사/검사,검사업체,2020-08-18,스트레이너 육안 및 치수검사 중 다음과 같은 불일치사항이 발견 됨. 대상 품목 : #5 30“ T-Type Strainer (3 sets) 불일치 사항 : T-Type Strainer Cover 에 유지보수용 Removal Device (Davit)가 부착되어야 하나 미 부착 됨. (승인도면에도 미반영 됨),기술규격서 Attachment 4-3 Strainer Data Sheet - REMARKS: * Vendor to complete this data sheet and return to A/E with strainer assembly drawing. 1) Cover Removal Device(Davit) shall be provided for maintenance or removal of collected materials on the screen.,유관 부서에서 관련 요건 일치 여부 확인 관련담당자 재발방지 교육,"펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A41
2500,C0013-0114,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 요건 승인도면에 미반영,2020-09-11 14:04,2020-09-11 14:04,dongseok,감사/검사,검사업체,2020-08-18,스트레이너 육안 및 치수검사 중 다음과 같은 불일치사항이 발견 됨. 대상 품목 : #5 30“ T-Type Strainer (3 sets) 불일치 사항 : T-Type Strainer Cover 에 유지보수용 Removal Device (Davit)가 부착되어야 하나 미 부착 됨. (승인도면에도 미반영 됨),기술규격서 Attachment 4-3 Strainer Data Sheet - REMARKS: * Vendor to complete this data sheet and return to A/E with strainer assembly drawing. 1) Cover Removal Device(Davit) shall be provided for maintenance or removal of collected materials on the screen.,유관 부서에서 관련 요건 일치 여부 확인 관련담당자 재발방지 교육,"펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A03
2501,M0042-0001,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,자재성적서 오스테나이트 결정 입도 시험 누락,2020-09-11 14:07,2020-09-11 14:07,BKOCEN64,감사/검사,검사업체,2020-08-18,"핵연료 건물 크레인의 Main Hoisting Ass’y 제작에 투입되는 자재 성적서 검토 중 아래와 같은 사항을 발견함. 대상 품목 : KSD 3754 - 05ED / SCM440H 불일치 사항 : SCM440H(크롬몰리브덴 강재) 자재의 경우 KS Code에서 오스테나이트 결정 입도(5.0 이상)을 요구하고 있으나, 자재성적서 상에 해당 값이 누락됨.",재료규격 KSD 3754 - 05EA / SCM440H - SCM440H 오스테나이트 결정 입도 : 5.0 이상,공급사 자재 인수검사시 관련 Code 및 재료규격 Check Sheet를 활용하여 자재성적서 검토 및 자재확인 실시,"크레인,펌프,밸브,배관,탱크,열교환기,공조기",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A45
2502,M0042-0002,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,자재성적서 오스테나이트 결정 입도 시험 누락,2020-09-11 14:07,2020-09-11 14:07,kimds5565,감사/검사,검사업체,2020-08-18,"핵연료 건물 크레인의 Main Hoisting Ass’y 제작에 투입되는 자재 성적서 검토 중 아래와 같은 사항을 발견함. 대상 품목 : KSD 3754 - 05ED / SCM440H 불일치 사항 : SCM440H(크롬몰리브덴 강재) 자재의 경우 KS Code에서 오스테나이트 결정 입도(5.0 이상)을 요구하고 있으나, 자재성적서 상에 해당 값이 누락됨.",재료규격 KSD 3754 - 05EA / SCM440H - SCM440H 오스테나이트 결정 입도 : 5.0 이상,공급사 자재 인수검사시 관련 Code 및 재료규격 Check Sheet를 활용하여 자재성적서 검토 및 자재확인 실시,"크레인,펌프,밸브,배관,탱크,열교환기,공조기",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A65
2503,M0042-0003,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,자재성적서 오스테나이트 결정 입도 시험 누락,2020-09-11 14:07,2020-09-11 14:07,seaheng1,감사/검사,검사업체,2020-08-18,"핵연료 건물 크레인의 Main Hoisting Ass’y 제작에 투입되는 자재 성적서 검토 중 아래와 같은 사항을 발견함. 대상 품목 : KSD 3754 - 05ED / SCM440H 불일치 사항 : SCM440H(크롬몰리브덴 강재) 자재의 경우 KS Code에서 오스테나이트 결정 입도(5.0 이상)을 요구하고 있으나, 자재성적서 상에 해당 값이 누락됨.",재료규격 KSD 3754 - 05EA / SCM440H - SCM440H 오스테나이트 결정 입도 : 5.0 이상,공급사 자재 인수검사시 관련 Code 및 재료규격 Check Sheet를 활용하여 자재성적서 검토 및 자재확인 실시,"크레인,펌프,밸브,배관,탱크,열교환기,공조기",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A09
2504,M0042-0004,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,자재성적서 오스테나이트 결정 입도 시험 누락,2020-09-11 14:07,2020-09-11 14:07,bhibw1751,감사/검사,검사업체,2020-08-18,"핵연료 건물 크레인의 Main Hoisting Ass’y 제작에 투입되는 자재 성적서 검토 중 아래와 같은 사항을 발견함. 대상 품목 : KSD 3754 - 05ED / SCM440H 불일치 사항 : SCM440H(크롬몰리브덴 강재) 자재의 경우 KS Code에서 오스테나이트 결정 입도(5.0 이상)을 요구하고 있으나, 자재성적서 상에 해당 값이 누락됨.",재료규격 KSD 3754 - 05EA / SCM440H - SCM440H 오스테나이트 결정 입도 : 5.0 이상,공급사 자재 인수검사시 관련 Code 및 재료규격 Check Sheet를 활용하여 자재성적서 검토 및 자재확인 실시,"크레인,펌프,밸브,배관,탱크,열교환기,공조기",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A44
2505,M0042-0005,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,자재성적서 오스테나이트 결정 입도 시험 누락,2020-09-11 14:07,2020-09-11 14:07,gsfire119,감사/검사,검사업체,2020-08-18,"핵연료 건물 크레인의 Main Hoisting Ass’y 제작에 투입되는 자재 성적서 검토 중 아래와 같은 사항을 발견함. 대상 품목 : KSD 3754 - 05ED / SCM440H 불일치 사항 : SCM440H(크롬몰리브덴 강재) 자재의 경우 KS Code에서 오스테나이트 결정 입도(5.0 이상)을 요구하고 있으나, 자재성적서 상에 해당 값이 누락됨.",재료규격 KSD 3754 - 05EA / SCM440H - SCM440H 오스테나이트 결정 입도 : 5.0 이상,공급사 자재 인수검사시 관련 Code 및 재료규격 Check Sheet를 활용하여 자재성적서 검토 및 자재확인 실시,"크레인,펌프,밸브,배관,탱크,열교환기,공조기",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A71
2506,M0042-0006,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,자재성적서 오스테나이트 결정 입도 시험 누락,2020-09-11 14:07,2020-09-11 14:07,vndanehd,감사/검사,검사업체,2020-08-18,"핵연료 건물 크레인의 Main Hoisting Ass’y 제작에 투입되는 자재 성적서 검토 중 아래와 같은 사항을 발견함. 대상 품목 : KSD 3754 - 05ED / SCM440H 불일치 사항 : SCM440H(크롬몰리브덴 강재) 자재의 경우 KS Code에서 오스테나이트 결정 입도(5.0 이상)을 요구하고 있으나, 자재성적서 상에 해당 값이 누락됨.",재료규격 KSD 3754 - 05EA / SCM440H - SCM440H 오스테나이트 결정 입도 : 5.0 이상,공급사 자재 인수검사시 관련 Code 및 재료규격 Check Sheet를 활용하여 자재성적서 검토 및 자재확인 실시,"크레인,펌프,밸브,배관,탱크,열교환기,공조기",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A05
2507,M0042-0007,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,자재성적서 오스테나이트 결정 입도 시험 누락,2020-09-11 14:07,2020-09-11 14:07,jiggydogg,감사/검사,검사업체,2020-08-18,"핵연료 건물 크레인의 Main Hoisting Ass’y 제작에 투입되는 자재 성적서 검토 중 아래와 같은 사항을 발견함. 대상 품목 : KSD 3754 - 05ED / SCM440H 불일치 사항 : SCM440H(크롬몰리브덴 강재) 자재의 경우 KS Code에서 오스테나이트 결정 입도(5.0 이상)을 요구하고 있으나, 자재성적서 상에 해당 값이 누락됨.",재료규격 KSD 3754 - 05EA / SCM440H - SCM440H 오스테나이트 결정 입도 : 5.0 이상,공급사 자재 인수검사시 관련 Code 및 재료규격 Check Sheet를 활용하여 자재성적서 검토 및 자재확인 실시,"크레인,펌프,밸브,배관,탱크,열교환기,공조기",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A03
2508,M0042-0008,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,자재성적서 오스테나이트 결정 입도 시험 누락,2020-09-11 14:07,2020-09-11 14:07,bokukqm2018,감사/검사,검사업체,2020-08-18,"핵연료 건물 크레인의 Main Hoisting Ass’y 제작에 투입되는 자재 성적서 검토 중 아래와 같은 사항을 발견함. 대상 품목 : KSD 3754 - 05ED / SCM440H 불일치 사항 : SCM440H(크롬몰리브덴 강재) 자재의 경우 KS Code에서 오스테나이트 결정 입도(5.0 이상)을 요구하고 있으나, 자재성적서 상에 해당 값이 누락됨.",재료규격 KSD 3754 - 05EA / SCM440H - SCM440H 오스테나이트 결정 입도 : 5.0 이상,공급사 자재 인수검사시 관련 Code 및 재료규격 Check Sheet를 활용하여 자재성적서 검토 및 자재확인 실시,"크레인,펌프,밸브,배관,탱크,열교환기,공조기",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A45
2509,M0042-0009,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,자재성적서 오스테나이트 결정 입도 시험 누락,2020-09-11 14:07,2020-09-11 14:07,duaghdrl,감사/검사,검사업체,2020-08-18,"핵연료 건물 크레인의 Main Hoisting Ass’y 제작에 투입되는 자재 성적서 검토 중 아래와 같은 사항을 발견함. 대상 품목 : KSD 3754 - 05ED / SCM440H 불일치 사항 : SCM440H(크롬몰리브덴 강재) 자재의 경우 KS Code에서 오스테나이트 결정 입도(5.0 이상)을 요구하고 있으나, 자재성적서 상에 해당 값이 누락됨.",재료규격 KSD 3754 - 05EA / SCM440H - SCM440H 오스테나이트 결정 입도 : 5.0 이상,공급사 자재 인수검사시 관련 Code 및 재료규격 Check Sheet를 활용하여 자재성적서 검토 및 자재확인 실시,"크레인,펌프,밸브,배관,탱크,열교환기,공조기",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A07
2510,C0013-0115,건설,"새울3,4(신고리5,6)","5,6호기공용",공통,공통,검사업체,기술규격서 요건 승인도면에 미반영,2020-09-11 14:04,2020-09-11 14:04,tomcruz2,감사/검사,검사업체,2020-08-18,스트레이너 육안 및 치수검사 중 다음과 같은 불일치사항이 발견 됨. 대상 품목 : #5 30“ T-Type Strainer (3 sets) 불일치 사항 : T-Type Strainer Cover 에 유지보수용 Removal Device (Davit)가 부착되어야 하나 미 부착 됨. (승인도면에도 미반영 됨),기술규격서 Attachment 4-3 Strainer Data Sheet - REMARKS: * Vendor to complete this data sheet and return to A/E with strainer assembly drawing. 1) Cover Removal Device(Davit) shall be provided for maintenance or removal of collected materials on the screen.,유관 부서에서 관련 요건 일치 여부 확인 관련담당자 재발방지 교육,"펌프,밸브,배관,탱크,열교환기,공조기 등",정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기","공통,panel,cable,변압기,계측기",공통,A31
