번호,문서번호,사업구분,납품사업소,호기,분야,소분야,발행기관,제목,등록일,발행일,등록자아이디,지적유형,검토기관,검토일,미흡_우수사항,관련근거,권고사항,대상품목,권고내용,공유분야(기계),공유분야(계전),공유분야(공통_기타),위배 내용
192,M0053-0059,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,핵연료 취급설비 용접 각목 부족,2022-12-01,2022-12-01,goodluckmg,기타,검사업체,2022-10-12," 핵연료 취급설비 Fuel Transfer System 용접 각목 부족 1. 도면 요구사항 : T Joint Filet Weld Size Min. 6mm 2. 적용 용접각장 : 6.5mm 3. 미흡사항 : 용접각장은 6.5mm이상 용접되었으나 2Pass 용접을하여 충분한 각목이 형성되 어야 하나, 1Pass 용접으로 마무리 하고자 하여 용접모양이 오목 (Concave)형상으로 실제 각목이 최소 요구사항인 Min. 4.2mm를 만족하지 못함."," KEPIC MNF 4427 필릿용접부의 형상과 크기 (1) 필릿용접부는 볼록형에서 부터 오목형까지의 형상을 가지게 되는데, 그 형상 및 크기는 그림 MNF 4427을 따라야 한다. 필릿용접부의 곡률운 판정기준이 아니며 측정할 필요가 없다.",용접부 검사시 Code요건을 확인 및 검사 절차서에 점검항목 추가.  용접작업자 용접후 자체 점검을 할 수 있도록 교육.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A06
193,M0053-0060,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,핵연료 취급설비 용접 각목 부족,2022-12-01,2022-12-01,hiairha,기타,검사업체,2022-10-12," 핵연료 취급설비 Fuel Transfer System 용접 각목 부족 1. 도면 요구사항 : T Joint Filet Weld Size Min. 6mm 2. 적용 용접각장 : 6.5mm 3. 미흡사항 : 용접각장은 6.5mm이상 용접되었으나 2Pass 용접을하여 충분한 각목이 형성되 어야 하나, 1Pass 용접으로 마무리 하고자 하여 용접모양이 오목 (Concave)형상으로 실제 각목이 최소 요구사항인 Min. 4.2mm를 만족하지 못함."," KEPIC MNF 4427 필릿용접부의 형상과 크기 (1) 필릿용접부는 볼록형에서 부터 오목형까지의 형상을 가지게 되는데, 그 형상 및 크기는 그림 MNF 4427을 따라야 한다. 필릿용접부의 곡률운 판정기준이 아니며 측정할 필요가 없다.",용접부 검사시 Code요건을 확인 및 검사 절차서에 점검항목 추가. 용접작업자 용접후 자체 점검을 할 수 있도록 교육.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A07
194,M0053-0061,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,핵연료 취급설비 용접 각목 부족,2022-12-01,2022-12-01,grand33,기타,검사업체,2022-10-12," 핵연료 취급설비 Fuel Transfer System 용접 각목 부족 1. 도면 요구사항 : T Joint Filet Weld Size Min. 6mm 2. 적용 용접각장 : 6.5mm 3. 미흡사항 : 용접각장은 6.5mm이상 용접되었으나 2Pass 용접을하여 충분한 각목이 형성되 어야 하나, 1Pass 용접으로 마무리 하고자 하여 용접모양이 오목 (Concave)형상으로 실제 각목이 최소 요구사항인 Min. 4.2mm를 만족하지 못함."," KEPIC MNF 4427 필릿용접부의 형상과 크기 (1) 필릿용접부는 볼록형에서 부터 오목형까지의 형상을 가지게 되는데, 그 형상 및 크기는 그림 MNF 4427을 따라야 한다. 필릿용접부의 곡률운 판정기준이 아니며 측정할 필요가 없다.",용접부 검사시 Code요건을 확인 및 검사 절차서에 점검항목 추가. 용접작업자 용접후 자체 점검을 할 수 있도록 교육.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,C04
195,M0053-0062,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,핵연료 취급설비 용접 각목 부족,2022-12-01,2022-12-01,kimgs8911,기타,검사업체,2022-10-12," 핵연료 취급설비 Fuel Transfer System 용접 각목 부족 1. 도면 요구사항 : T Joint Filet Weld Size Min. 6mm 2. 적용 용접각장 : 6.5mm 3. 미흡사항 : 용접각장은 6.5mm이상 용접되었으나 2Pass 용접을하여 충분한 각목이 형성되 어야 하나, 1Pass 용접으로 마무리 하고자 하여 용접모양이 오목 (Concave)형상으로 실제 각목이 최소 요구사항인 Min. 4.2mm를 만족하지 못함."," KEPIC MNF 4427 필릿용접부의 형상과 크기 (1) 필릿용접부는 볼록형에서 부터 오목형까지의 형상을 가지게 되는데, 그 형상 및 크기는 그림 MNF 4427을 따라야 한다. 필릿용접부의 곡률운 판정기준이 아니며 측정할 필요가 없다.",용접부 검사시 Code요건을 확인 및 검사 절차서에 점검항목 추가. 용접작업자 용접후 자체 점검을 할 수 있도록 교육.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A10
196,M0053-0063,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,핵연료 취급설비 용접 각목 부족,2022-12-01,2022-12-01,juhg8911,기타,검사업체,2022-10-12," 핵연료 취급설비 Fuel Transfer System 용접 각목 부족 1. 도면 요구사항 : T Joint Filet Weld Size Min. 6mm 2. 적용 용접각장 : 6.5mm 3. 미흡사항 : 용접각장은 6.5mm이상 용접되었으나 2Pass 용접을하여 충분한 각목이 형성되 어야 하나, 1Pass 용접으로 마무리 하고자 하여 용접모양이 오목 (Concave)형상으로 실제 각목이 최소 요구사항인 Min. 4.2mm를 만족하지 못함."," KEPIC MNF 4427 필릿용접부의 형상과 크기 (1) 필릿용접부는 볼록형에서 부터 오목형까지의 형상을 가지게 되는데, 그 형상 및 크기는 그림 MNF 4427을 따라야 한다. 필릿용접부의 곡률운 판정기준이 아니며 측정할 필요가 없다.",용접부 검사시 Code요건을 확인 및 검사 절차서에 점검항목 추가. 용접작업자 용접후 자체 점검을 할 수 있도록 교육.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A02
197,E0018-0011,건설,"새울3,4(신고리5,6)","5,6호기공용",계전,공통,검사업체,PCS 격리함 Nameplate 색상불일치,2022-12-01,2022-12-01,sjvalve2,NCR,검사업체,2022-10-12," Non-Safety Cabinet인 DRCS 격리함 전면 Label이 안전채널에 해당하는 노란색, 파란색 바탕으로 Color Label이 설치됨. 1. 기술규격서 : White Letter on black background 2. 승인도면 : Black Letter on yellow background, White Letter on blue background 3. 현품: Black Letter on yellow background, White Letter on blue background", 기술규격서 App.4U 1.6. Non-Safety: White Letter on black background,Appendix 4U등 관련 담당자 교육을 통해 요건 공유  기술기준 변경시 기술규격서 Appendix 4H SDDR을 통해 변경,Panel 부품 등.,정보전달,,"공통,panel,cable,변압기,계측기",,A09
198,E0018-0012,건설,"새울3,4(신고리5,6)","5,6호기공용",계전,공통,검사업체,PCS 격리함 Nameplate 색상불일치,2022-12-01,2022-12-01,nutcaseg,NCR,검사업체,2022-10-12," Non-Safety Cabinet인 DRCS 격리함 전면 Label이 안전채널에 해당하는 노란색, 파란색 바탕으로 Color Label이 설치됨. 1. 기술규격서 : White Letter on black background 2. 승인도면 : Black Letter on yellow background, White Letter on blue background 3. 현품: Black Letter on yellow background, White Letter on blue background", 기술규격서 App.4U 1.6. Non-Safety: White Letter on black background,Appendix 4U등 관련 담당자 교육을 통해 요건 공유 기술기준 변경시 기술규격서 Appendix 4H SDDR을 통해 변경,Panel 부품 등.,정보전달,,"공통,panel,cable,변압기,계측기",,C11
199,E0018-0013,건설,"새울3,4(신고리5,6)","5,6호기공용",계전,공통,검사업체,PCS 격리함 Nameplate 색상불일치,2022-12-01,2022-12-01,hs2006432,NCR,검사업체,2022-10-12," Non-Safety Cabinet인 DRCS 격리함 전면 Label이 안전채널에 해당하는 노란색, 파란색 바탕으로 Color Label이 설치됨. 1. 기술규격서 : White Letter on black background 2. 승인도면 : Black Letter on yellow background, White Letter on blue background 3. 현품: Black Letter on yellow background, White Letter on blue background", 기술규격서 App.4U 1.6. Non-Safety: White Letter on black background,Appendix 4U등 관련 담당자 교육을 통해 요건 공유 기술기준 변경시 기술규격서 Appendix 4H SDDR을 통해 변경,Panel 부품 등.,정보전달,,"공통,panel,cable,변압기,계측기",,A06
200,E0018-0014,건설,"새울3,4(신고리5,6)","5,6호기공용",계전,공통,검사업체,PCS 격리함 Nameplate 색상불일치,2022-12-01,2022-12-01,wnguseh1,NCR,검사업체,2022-10-12," Non-Safety Cabinet인 DRCS 격리함 전면 Label이 안전채널에 해당하는 노란색, 파란색 바탕으로 Color Label이 설치됨. 1. 기술규격서 : White Letter on black background 2. 승인도면 : Black Letter on yellow background, White Letter on blue background 3. 현품: Black Letter on yellow background, White Letter on blue background", 기술규격서 App.4U 1.6. Non-Safety: White Letter on black background,Appendix 4U등 관련 담당자 교육을 통해 요건 공유 기술기준 변경시 기술규격서 Appendix 4H SDDR을 통해 변경,Panel 부품 등.,정보전달,,"공통,panel,cable,변압기,계측기",,A03
201,E0018-0015,건설,"새울3,4(신고리5,6)","5,6호기공용",계전,공통,검사업체,PCS 격리함 Nameplate 색상불일치,2022-12-01,2022-12-01,caos0610,NCR,검사업체,2022-10-12," Non-Safety Cabinet인 DRCS 격리함 전면 Label이 안전채널에 해당하는 노란색, 파란색 바탕으로 Color Label이 설치됨. 1. 기술규격서 : White Letter on black background 2. 승인도면 : Black Letter on yellow background, White Letter on blue background 3. 현품: Black Letter on yellow background, White Letter on blue background", 기술규격서 App.4U 1.6. Non-Safety: White Letter on black background,Appendix 4U등 관련 담당자 교육을 통해 요건 공유 기술기준 변경시 기술규격서 Appendix 4H SDDR을 통해 변경,Panel 부품 등.,정보전달,,"공통,panel,cable,변압기,계측기",,C06
202,E0018-0016,건설,"새울3,4(신고리5,6)","5,6호기공용",계전,공통,검사업체,PCS 격리함 Nameplate 색상불일치,2022-12-01,2022-12-01,solux6848,NCR,검사업체,2022-10-12," Non-Safety Cabinet인 DRCS 격리함 전면 Label이 안전채널에 해당하는 노란색, 파란색 바탕으로 Color Label이 설치됨. 1. 기술규격서 : White Letter on black background 2. 승인도면 : Black Letter on yellow background, White Letter on blue background 3. 현품: Black Letter on yellow background, White Letter on blue background", 기술규격서 App.4U 1.6. Non-Safety: White Letter on black background,Appendix 4U등 관련 담당자 교육을 통해 요건 공유 기술기준 변경시 기술규격서 Appendix 4H SDDR을 통해 변경,Panel 부품 등.,정보전달,,"공통,panel,cable,변압기,계측기",,C05
203,E0018-0017,건설,"새울3,4(신고리5,6)","5,6호기공용",계전,공통,검사업체,PCS 격리함 Nameplate 색상불일치,2022-12-01,2022-12-01,YPP2010,NCR,검사업체,2022-10-12," Non-Safety Cabinet인 DRCS 격리함 전면 Label이 안전채널에 해당하는 노란색, 파란색 바탕으로 Color Label이 설치됨. 1. 기술규격서 : White Letter on black background 2. 승인도면 : Black Letter on yellow background, White Letter on blue background 3. 현품: Black Letter on yellow background, White Letter on blue background", 기술규격서 App.4U 1.6. Non-Safety: White Letter on black background,Appendix 4U등 관련 담당자 교육을 통해 요건 공유 기술기준 변경시 기술규격서 Appendix 4H SDDR을 통해 변경,Panel 부품 등.,정보전달,,"공통,panel,cable,변압기,계측기",,A03
204,E0018-0018,건설,"새울3,4(신고리5,6)","5,6호기공용",계전,공통,검사업체,PCS 격리함 Nameplate 색상불일치,2022-12-01,2022-12-01,nadasnv1,NCR,검사업체,2022-10-12," Non-Safety Cabinet인 DRCS 격리함 전면 Label이 안전채널에 해당하는 노란색, 파란색 바탕으로 Color Label이 설치됨. 1. 기술규격서 : White Letter on black background 2. 승인도면 : Black Letter on yellow background, White Letter on blue background 3. 현품: Black Letter on yellow background, White Letter on blue background", 기술규격서 App.4U 1.6. Non-Safety: White Letter on black background,Appendix 4U등 관련 담당자 교육을 통해 요건 공유 기술기준 변경시 기술규격서 Appendix 4H SDDR을 통해 변경,Panel 부품 등.,정보전달,,"공통,panel,cable,변압기,계측기",,A08
205,E0018-0019,건설,"새울3,4(신고리5,6)","5,6호기공용",계전,공통,검사업체,PCS 격리함 Nameplate 색상불일치,2022-12-01,2022-12-01,vitzro05,NCR,검사업체,2022-10-12," Non-Safety Cabinet인 DRCS 격리함 전면 Label이 안전채널에 해당하는 노란색, 파란색 바탕으로 Color Label이 설치됨. 1. 기술규격서 : White Letter on black background 2. 승인도면 : Black Letter on yellow background, White Letter on blue background 3. 현품: Black Letter on yellow background, White Letter on blue background", 기술규격서 App.4U 1.6. Non-Safety: White Letter on black background,Appendix 4U등 관련 담당자 교육을 통해 요건 공유 기술기준 변경시 기술규격서 Appendix 4H SDDR을 통해 변경,Panel 부품 등.,정보전달,,"공통,panel,cable,변압기,계측기",,C04
206,E0018-0020,건설,"새울3,4(신고리5,6)","5,6호기공용",계전,공통,검사업체,PCS 격리함 Nameplate 색상불일치,2022-12-01,2022-12-01,sm935501,NCR,검사업체,2022-10-12," Non-Safety Cabinet인 DRCS 격리함 전면 Label이 안전채널에 해당하는 노란색, 파란색 바탕으로 Color Label이 설치됨. 1. 기술규격서 : White Letter on black background 2. 승인도면 : Black Letter on yellow background, White Letter on blue background 3. 현품: Black Letter on yellow background, White Letter on blue background", 기술규격서 App.4U 1.6. Non-Safety: White Letter on black background,Appendix 4U등 관련 담당자 교육을 통해 요건 공유 기술기준 변경시 기술규격서 Appendix 4H SDDR을 통해 변경,Panel 부품 등.,정보전달,,"공통,panel,cable,변압기,계측기",,A01
207,M0051-0023,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,밸브,검사업체,Butteryfly Valve 구동기 방향 불일치,2022-12-01,2022-12-01,bokukqm2018,NCR,검사업체,2022-10-12," Butterfly Valve 26 inch, 150 pound 밸브에 조립되어 있는 구동기 방향이 승인도면 (NA-SK56J233-019 Rev.2)의 방향과 일치하지 않아 불일치 발생함 1. 도면 : 구동기 모터 방향이 출구측에 위치 2. 실제 : 구동기 모터 방향이 밸브 바디 측 정면에 위치", 승인도면 NA-SK56J233-019 Rev.2,"공급사 공정문서상에 조립검사 공정을 포함. 절차서 또는 작업지시서에 ""도면과 실물의 일치성 유무""를 명시하도록 권고",기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A03
208,M0051-0024,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,밸브,검사업체,Butteryfly Valve 구동기 방향 불일치,2022-12-01,2022-12-01,duaghdrl,NCR,검사업체,2022-10-12," Butterfly Valve 26 inch, 150 pound 밸브에 조립되어 있는 구동기 방향이 승인도면 (NA-SK56J233-019 Rev.2)의 방향과 일치하지 않아 불일치 발생함 1. 도면 : 구동기 모터 방향이 출구측에 위치 2. 실제 : 구동기 모터 방향이 밸브 바디 측 정면에 위치", 승인도면 NA-SK56J233-019 Rev.2,"공급사 공정문서상에 조립검사 공정을 포함. 절차서 또는 작업지시서에 ""도면과 실물의 일치성 유무""를 명시하도록 권고",기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,C09
209,M0051-0025,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,밸브,검사업체,Butteryfly Valve 구동기 방향 불일치,2022-12-01,2022-12-01,sh0165,NCR,검사업체,2022-10-12," Butterfly Valve 26 inch, 150 pound 밸브에 조립되어 있는 구동기 방향이 승인도면 (NA-SK56J233-019 Rev.2)의 방향과 일치하지 않아 불일치 발생함 1. 도면 : 구동기 모터 방향이 출구측에 위치 2. 실제 : 구동기 모터 방향이 밸브 바디 측 정면에 위치", 승인도면 NA-SK56J233-019 Rev.2,"공급사 공정문서상에 조립검사 공정을 포함. 절차서 또는 작업지시서에 ""도면과 실물의 일치성 유무""를 명시하도록 권고",기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,C07
210,M0051-0026,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,밸브,검사업체,Butteryfly Valve 구동기 방향 불일치,2022-12-01,2022-12-01,ksbaek109,NCR,검사업체,2022-10-12," Butterfly Valve 26 inch, 150 pound 밸브에 조립되어 있는 구동기 방향이 승인도면 (NA-SK56J233-019 Rev.2)의 방향과 일치하지 않아 불일치 발생함 1. 도면 : 구동기 모터 방향이 출구측에 위치 2. 실제 : 구동기 모터 방향이 밸브 바디 측 정면에 위치", 승인도면 NA-SK56J233-019 Rev.2,"공급사 공정문서상에 조립검사 공정을 포함. 절차서 또는 작업지시서에 ""도면과 실물의 일치성 유무""를 명시하도록 권고",기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,C11
211,M0051-0027,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,밸브,검사업체,Butteryfly Valve 구동기 방향 불일치,2022-12-01,2022-12-01,cwhydro1,NCR,검사업체,2022-10-12," Butterfly Valve 26 inch, 150 pound 밸브에 조립되어 있는 구동기 방향이 승인도면 (NA-SK56J233-019 Rev.2)의 방향과 일치하지 않아 불일치 발생함 1. 도면 : 구동기 모터 방향이 출구측에 위치 2. 실제 : 구동기 모터 방향이 밸브 바디 측 정면에 위치", 승인도면 NA-SK56J233-019 Rev.2,"공급사 공정문서상에 조립검사 공정을 포함. 절차서 또는 작업지시서에 ""도면과 실물의 일치성 유무""를 명시하도록 권고",기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A10
212,M0051-0028,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,밸브,검사업체,Butteryfly Valve 구동기 방향 불일치,2022-12-01,2022-12-01,wilopump1,NCR,검사업체,2022-10-12," Butterfly Valve 26 inch, 150 pound 밸브에 조립되어 있는 구동기 방향이 승인도면 (NA-SK56J233-019 Rev.2)의 방향과 일치하지 않아 불일치 발생함 1. 도면 : 구동기 모터 방향이 출구측에 위치 2. 실제 : 구동기 모터 방향이 밸브 바디 측 정면에 위치", 승인도면 NA-SK56J233-019 Rev.2,"공급사 공정문서상에 조립검사 공정을 포함. 절차서 또는 작업지시서에 ""도면과 실물의 일치성 유무""를 명시하도록 권고",기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A09
213,M0051-0029,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,밸브,검사업체,Butteryfly Valve 구동기 방향 불일치,2022-12-01,2022-12-01,TSURUMI77,NCR,검사업체,2022-10-12," Butterfly Valve 26 inch, 150 pound 밸브에 조립되어 있는 구동기 방향이 승인도면 (NA-SK56J233-019 Rev.2)의 방향과 일치하지 않아 불일치 발생함 1. 도면 : 구동기 모터 방향이 출구측에 위치 2. 실제 : 구동기 모터 방향이 밸브 바디 측 정면에 위치", 승인도면 NA-SK56J233-019 Rev.2,"공급사 공정문서상에 조립검사 공정을 포함.  절차서 또는 작업지시서에 ""도면과 실물의 일치성 유무""를 명시하도록 권고",기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A03
214,M0051-0030,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,밸브,검사업체,Butteryfly Valve 구동기 방향 불일치,2022-12-01,2022-12-01,0bbe6fad4914,NCR,검사업체,2022-10-12," Butterfly Valve 26 inch, 150 pound 밸브에 조립되어 있는 구동기 방향이 승인도면 (NA-SK56J233-019 Rev.2)의 방향과 일치하지 않아 불일치 발생함 1. 도면 : 구동기 모터 방향이 출구측에 위치 2. 실제 : 구동기 모터 방향이 밸브 바디 측 정면에 위치", 승인도면 NA-SK56J233-019 Rev.2,"공급사 공정문서상에 조립검사 공정을 포함. 절차서 또는 작업지시서에 ""도면과 실물의 일치성 유무""를 명시하도록 권고",기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,C09
215,M0051-0031,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,밸브,검사업체,Butteryfly Valve 구동기 방향 불일치,2022-12-01,2022-12-01,buradu,NCR,검사업체,2022-10-12," Butterfly Valve 26 inch, 150 pound 밸브에 조립되어 있는 구동기 방향이 승인도면 (NA-SK56J233-019 Rev.2)의 방향과 일치하지 않아 불일치 발생함 1. 도면 : 구동기 모터 방향이 출구측에 위치 2. 실제 : 구동기 모터 방향이 밸브 바디 측 정면에 위치", 승인도면 NA-SK56J233-019 Rev.2,"공급사 공정문서상에 조립검사 공정을 포함. 절차서 또는 작업지시서에 ""도면과 실물의 일치성 유무""를 명시하도록 권고",기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,C07
216,M0051-0032,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,밸브,검사업체,Butteryfly Valve 구동기 방향 불일치,2022-12-01,2022-12-01,hec081058,NCR,검사업체,2022-10-12," Butterfly Valve 26 inch, 150 pound 밸브에 조립되어 있는 구동기 방향이 승인도면 (NA-SK56J233-019 Rev.2)의 방향과 일치하지 않아 불일치 발생함 1. 도면 : 구동기 모터 방향이 출구측에 위치 2. 실제 : 구동기 모터 방향이 밸브 바디 측 정면에 위치", 승인도면 NA-SK56J233-019 Rev.2,"공급사 공정문서상에 조립검사 공정을 포함. 절차서 또는 작업지시서에 ""도면과 실물의 일치성 유무""를 명시하도록 권고",기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,C05
217,M0051-0033,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,밸브,검사업체,Butteryfly Valve 구동기 방향 불일치,2022-12-01,2022-12-01,isjang8770,NCR,검사업체,2022-10-12," Butterfly Valve 26 inch, 150 pound 밸브에 조립되어 있는 구동기 방향이 승인도면 (NA-SK56J233-019 Rev.2)의 방향과 일치하지 않아 불일치 발생함 1. 도면 : 구동기 모터 방향이 출구측에 위치 2. 실제 : 구동기 모터 방향이 밸브 바디 측 정면에 위치", 승인도면 NA-SK56J233-019 Rev.2,"공급사 공정문서상에 조립검사 공정을 포함. 절차서 또는 작업지시서에 ""도면과 실물의 일치성 유무""를 명시하도록 권고",기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,C02
218,M0053-0064,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,핵연료 취급설비 용접 각목 부족,2022-12-01,2022-12-01,lge253507,기타,검사업체,2022-10-12," 핵연료 취급설비 Fuel Transfer System 용접 각목 부족 1. 도면 요구사항 : T Joint Filet Weld Size Min. 6mm 2. 적용 용접각장 : 6.5mm 3. 미흡사항 : 용접각장은 6.5mm이상 용접되었으나 2Pass 용접을하여 충분한 각목이 형성되 어야 하나, 1Pass 용접으로 마무리 하고자 하여 용접모양이 오목 (Concave)형상으로 실제 각목이 최소 요구사항인 Min. 4.2mm를 만족하지 못함."," KEPIC MNF 4427 필릿용접부의 형상과 크기 (1) 필릿용접부는 볼록형에서 부터 오목형까지의 형상을 가지게 되는데, 그 형상 및 크기는 그림 MNF 4427을 따라야 한다. 필릿용접부의 곡률운 판정기준이 아니며 측정할 필요가 없다.",용접부 검사시 Code요건을 확인 및 검사 절차서에 점검항목 추가. 용접작업자 용접후 자체 점검을 할 수 있도록 교육.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A01
219,M0053-0065,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,핵연료 취급설비 용접 각목 부족,2022-12-01,2022-12-01,lww257205,기타,검사업체,2022-10-12," 핵연료 취급설비 Fuel Transfer System 용접 각목 부족 1. 도면 요구사항 : T Joint Filet Weld Size Min. 6mm 2. 적용 용접각장 : 6.5mm 3. 미흡사항 : 용접각장은 6.5mm이상 용접되었으나 2Pass 용접을하여 충분한 각목이 형성되 어야 하나, 1Pass 용접으로 마무리 하고자 하여 용접모양이 오목 (Concave)형상으로 실제 각목이 최소 요구사항인 Min. 4.2mm를 만족하지 못함."," KEPIC MNF 4427 필릿용접부의 형상과 크기 (1) 필릿용접부는 볼록형에서 부터 오목형까지의 형상을 가지게 되는데, 그 형상 및 크기는 그림 MNF 4427을 따라야 한다. 필릿용접부의 곡률운 판정기준이 아니며 측정할 필요가 없다.",용접부 검사시 Code요건을 확인 및 검사 절차서에 점검항목 추가. 용접작업자 용접후 자체 점검을 할 수 있도록 교육.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A03
220,M0053-0066,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,핵연료 취급설비 용접 각목 부족,2022-12-01,2022-12-01,LGE251319,기타,검사업체,2022-10-12," 핵연료 취급설비 Fuel Transfer System 용접 각목 부족 1. 도면 요구사항 : T Joint Filet Weld Size Min. 6mm 2. 적용 용접각장 : 6.5mm 3. 미흡사항 : 용접각장은 6.5mm이상 용접되었으나 2Pass 용접을하여 충분한 각목이 형성되 어야 하나, 1Pass 용접으로 마무리 하고자 하여 용접모양이 오목 (Concave)형상으로 실제 각목이 최소 요구사항인 Min. 4.2mm를 만족하지 못함."," KEPIC MNF 4427 필릿용접부의 형상과 크기 (1) 필릿용접부는 볼록형에서 부터 오목형까지의 형상을 가지게 되는데, 그 형상 및 크기는 그림 MNF 4427을 따라야 한다. 필릿용접부의 곡률운 판정기준이 아니며 측정할 필요가 없다.",용접부 검사시 Code요건을 확인 및 검사 절차서에 점검항목 추가. 용접작업자 용접후 자체 점검을 할 수 있도록 교육.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A05
221,M0053-0067,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,핵연료 취급설비 용접 각목 부족,2022-12-01,2022-12-01,hjw10521052,기타,검사업체,2022-10-12," 핵연료 취급설비 Fuel Transfer System 용접 각목 부족 1. 도면 요구사항 : T Joint Filet Weld Size Min. 6mm 2. 적용 용접각장 : 6.5mm 3. 미흡사항 : 용접각장은 6.5mm이상 용접되었으나 2Pass 용접을하여 충분한 각목이 형성되 어야 하나, 1Pass 용접으로 마무리 하고자 하여 용접모양이 오목 (Concave)형상으로 실제 각목이 최소 요구사항인 Min. 4.2mm를 만족하지 못함."," KEPIC MNF 4427 필릿용접부의 형상과 크기 (1) 필릿용접부는 볼록형에서 부터 오목형까지의 형상을 가지게 되는데, 그 형상 및 크기는 그림 MNF 4427을 따라야 한다. 필릿용접부의 곡률운 판정기준이 아니며 측정할 필요가 없다.",용접부 검사시 Code요건을 확인 및 검사 절차서에 점검항목 추가. 용접작업자 용접후 자체 점검을 할 수 있도록 교육.,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,A10
222,M0054-0001,건설,"새울3,4(신고리5,6)","5,6호기공용",기계,공통,검사업체,기술규격서(App. 4K1) 요건 불일치,2022-12-01,2022-12-01,bkocen49,기타,검사업체,2022-10-12, 기술규격서 Appendix 4K1에 따라 Austenite Stainless steel의 TP316L 또는 TP304L (Low Carbon) 자재의 용접에 사용되는 PQR은 ASTM A262 Type A 또는 E의 검사 요건에 따라 IGC(Intergranular Corrosion Test)를 실시하고 관련 내용을 기록하도록 되어 있으나 해당되는 PQR에 누락되어 있음.," 기술규격서 Appendix 4K1 5.13 This Paragraph desctibes the requirements for austenitic stainless steel: A. Test piece welded from each austenitic stainless steel welding procedure (other than those for materials restricted specifically to the low-carbon grades, i.e., 0.03% carbon maximum, the stabilized grades, or where post-weld heat treatment is solution annealed) shall be subjected to the ASTM A262 intergranular corrosion test of Practice ""A"" or ""E"". The welding procedure shall be acceptable for use if the sample passes this test; or, if the sample fails this test of practice ""E"". Documentation of these test results shall be Submitted with each Procedure Qualification Record;",Appendix 4K1적용하는 기기는 PQR상의 해당 요건이 기록되어 있는지 점검. 필요시 WPS & PQR 개정,기계 품목,정보전달,"공통,펌프,밸브,배관,탱크,열교환기,공기조화기",,,C04
